[0.000000] (-) TimerEvent: {}
[0.000146] (-) JobUnselected: {'identifier': 'animated_fish1'}
[0.000168] (-) JobUnselected: {'identifier': 'animated_fish2'}
[0.000184] (-) JobUnselected: {'identifier': 'bluerov2_heavy_thruster_manager'}
[0.000199] (-) JobUnselected: {'identifier': 'plankton'}
[0.000213] (-) JobUnselected: {'identifier': 'plankton_utils'}
[0.000228] (-) JobUnselected: {'identifier': 'uuv_assistants'}
[0.000241] (-) JobUnselected: {'identifier': 'uuv_auv_control_allocator'}
[0.000255] (-) JobUnselected: {'identifier': 'uuv_control_cascaded_pid'}
[0.000269] (-) JobUnselected: {'identifier': 'uuv_control_msgs'}
[0.000282] (-) JobUnselected: {'identifier': 'uuv_control_utils'}
[0.000296] (-) JobUnselected: {'identifier': 'uuv_descriptions'}
[0.000309] (-) JobUnselected: {'identifier': 'uuv_gazebo'}
[0.000323] (-) JobUnselected: {'identifier': 'uuv_gazebo_plugins'}
[0.000336] (-) JobUnselected: {'identifier': 'uuv_gazebo_ros_plugins'}
[0.000349] (-) JobUnselected: {'identifier': 'uuv_gazebo_ros_plugins_msgs'}
[0.000363] (-) JobUnselected: {'identifier': 'uuv_gazebo_worlds'}
[0.000376] (-) JobUnselected: {'identifier': 'uuv_mapping'}
[0.000389] (-) JobUnselected: {'identifier': 'uuv_sensor_ros_plugins'}
[0.000403] (-) JobUnselected: {'identifier': 'uuv_sensor_ros_plugins_msgs'}
[0.000417] (-) JobUnselected: {'identifier': 'uuv_simulator'}
[0.000430] (-) JobUnselected: {'identifier': 'uuv_teleop'}
[0.000443] (-) JobUnselected: {'identifier': 'uuv_thruster_manager'}
[0.000457] (-) JobUnselected: {'identifier': 'uuv_trajectory_control'}
[0.000470] (-) JobUnselected: {'identifier': 'uuv_tutorial_disturbances'}
[0.000488] (-) JobUnselected: {'identifier': 'uuv_tutorial_dp_controller'}
[0.000505] (-) JobUnselected: {'identifier': 'uuv_tutorial_seabed_world'}
[0.000519] (-) JobUnselected: {'identifier': 'uuv_tutorials'}
[0.000532] (-) JobUnselected: {'identifier': 'uuv_world_plugins'}
[0.000545] (-) JobUnselected: {'identifier': 'uuv_world_ros_plugins'}
[0.000559] (-) JobUnselected: {'identifier': 'uuv_world_ros_plugins_msgs'}
[0.000572] (-) EventReactorShutdown: {}
